字根	字根码	字根扩展码	Unicode分区	部件映射	电子设备显示兼容	准备弃用	
龴	Zd		基本区补充			
	Zg		私用区		艮	
艮	Zg		基本区			
⾉	Zg		康熙部首	艮		
卪	Zi		基本区			
⺋	Zi		部首补充			
ㄗ	Zi		注音符号			
	Zi		私用区		卪	
𠁾	Zi		扩展B区		卪	
	Zi		私用区		⼙	
㔾	Zi		扩展A区			
	Zi		私用区		⺋	
	Zi		私用区		⼙	
⼙	Zi		康熙部首	卩		
卩	Zi		基本区			
⼰	Zj		康熙部首	己		
己	Zj		基本区			
	Zj		私用区		己	
乃	Zn		基本区			
	Zp		私用区		丩	
	Zp		私用区		丩	
丩	Zs		基本区			
⺒	Zsi		部首补充			
	Zsi		私用区		巳	
巳	Zsi		基本区			
	Zsi		私用区		巳	
予	Zv		基本区			
𠄔	Zv		扩展B区		予	
已	Zy		基本区			
𠃉	Zyi		扩展B区		乙	
乙	Zyi		基本区			
